chose_left,chose_right,reward_left,reward_right,subjID,q_reward,mu,blocks,contrast_difference,abs_condiff,trial
0,1,0,1,139,0.5,0.5,1,0.0424680170377635,0.0424680170377635,1
0,1,0,1,139,0.72,0.72,1,0.0242618685924445,0.0242618685924445,2
1,0,1,0,139,0.5,0.5,1,-0.0101676855550545,0.0101676855550545,3
0,1,1,0,139,0.74,0.74,1,-0.0105244130401685,0.0105244130401685,4
0,1,0,1,139,0.66,0.66,1,0.00224885964851848,0.00224885964851848,5
0,1,0,1,139,0.75,0.75,1,0.00510002289688752,0.00510002289688752,6
1,0,1,0,139,0.78,0.78,1,0.0664119915477035,0.0664119915477035,7
1,0,1,0,139,0.89,0.89,1,0.084667128310454,0.084667128310454,8
1,0,1,0,139,0.84,0.84,1,-0.00302749227204252,0.00302749227204252,9
0,1,1,0,139,0.83,0.83,1,-0.0893294783393585,0.0893294783393585,10
1,0,1,0,139,0.84,0.84,1,0.0291135225520775,0.0291135225520775,11
0,1,1,0,139,0.91,0.91,1,-0.0712856293224295,0.0712856293224295,12
1,0,1,0,139,0.87,0.87,1,0.0463569219066925,0.0463569219066925,13
1,0,1,0,139,0.88,0.88,1,-0.00177777091217651,0.00177777091217651,14
0,1,1,0,139,0.87,0.87,1,-0.0849563161206195,0.0849563161206195,15
0,1,1,0,139,0.86,0.86,1,-0.0330550615412825,0.0330550615412825,16
0,1,1,0,139,0.87,0.87,1,-0.0325776561404145,0.0325776561404145,17
1,0,1,0,139,0.9,0.9,1,0.0874220591133115,0.0874220591133115,18
1,0,1,0,139,0.9,0.9,1,0.0956002537120525,0.0956002537120525,19
0,1,1,0,139,0.93,0.93,1,-0.0599509202891595,0.0599509202891595,20
0,1,1,0,139,0.93,0.93,1,-0.0358281229393675,0.0358281229393675,21
1,0,1,0,139,0.92,0.92,1,0.0503377706794735,0.0503377706794735,22
1,0,1,0,139,0.91,0.91,1,-0.000817038423989475,0.000817038423989475,23
1,0,1,0,139,0.91,0.91,1,0.0386931671863055,0.0386931671863055,24
1,0,1,0,139,0.92,0.92,1,0.0478889571731435,0.0478889571731435,25
0,1,0,1,139,0.5,0.5,2,0.072796084241355,0.072796084241355,1
1,0,1,0,139,0.77,0.77,2,0.0567388883452535,0.0567388883452535,2
0,1,1,0,139,0.8,0.8,2,-0.0978168346662485,0.0978168346662485,3
1,0,1,0,139,0.81,0.81,2,0.0451578844011735,0.0451578844011735,4
0,1,1,0,139,0.88,0.88,2,-0.048428404981377,0.048428404981377,5
0,1,1,0,139,0.9,0.9,2,-0.0562575626936115,0.0562575626936115,6
0,1,1,0,139,0.91,0.91,2,-0.0999814042845825,0.0999814042845825,7
1,0,1,0,139,0.92,0.92,2,0.050589155333916,0.050589155333916,8
1,0,1,0,139,0.93,0.93,2,0.0825124779114195,0.0825124779114195,9
1,0,1,0,139,0.92,0.92,2,0.0157595095634785,0.0157595095634785,10
0,1,1,0,139,0.91,0.91,2,-0.0674737613576565,0.0674737613576565,11
0,1,1,0,139,0.93,0.93,2,-0.00535951213170652,0.00535951213170652,12
0,1,1,0,139,0.96,0.96,2,-0.0423483348180105,0.0423483348180105,13
1,0,1,0,139,0.96,0.96,2,0.0613904117129875,0.0613904117129875,14
0,1,1,0,139,0.94,0.94,2,-0.0399822641579765,0.0399822641579765,15
1,0,1,0,139,0.95,0.95,2,0.0885467159620155,0.0885467159620155,16
0,1,1,0,139,0.96,0.96,2,-0.0233582407594355,0.0233582407594355,17
1,0,1,0,139,0.95,0.95,2,-0.0014155762738805,0.0014155762738805,18
0,1,1,0,139,0.94,0.94,2,-0.0713939375518975,0.0713939375518975,19
1,0,1,0,139,0.96,0.96,2,0.0746934027984685,0.0746934027984685,20
1,0,1,0,139,0.95,0.95,2,0.0183610396928005,0.0183610396928005,21
1,0,1,0,139,0.94,0.94,2,0.0369425989056235,0.0369425989056235,22
1,0,1,0,139,0.96,0.96,2,0.0725181672820535,0.0725181672820535,23
1,0,1,0,139,0.04,0.96,2,0.0774880219460655,0.0774880219460655,24
0,1,0,1,139,0.0600000000000001,0.94,2,-0.079212623814896,0.079212623814896,25
0,1,0,1,139,0.5,0.5,3,-0.368179398070861,0.368179398070861,1
1,0,1,0,139,0.5,0.5,3,-0.431490994673568,0.431490994673568,2
1,0,1,0,139,0.5,0.5,3,0.406826465550381,0.406826465550381,3
0,1,0,1,139,0.5,0.5,3,-0.418297947235285,0.418297947235285,4
1,0,1,0,139,0.5,0.5,3,0.421792596187167,0.421792596187167,5
1,0,1,0,139,0.5,0.5,3,0.417793503935703,0.417793503935703,6
0,1,0,1,139,0.5,0.5,3,0.37639133156245,0.37639133156245,7
1,0,1,0,139,0.5,0.5,3,0.386739500614768,0.386739500614768,8
1,0,1,0,139,0.5,0.5,3,-0.409401828310331,0.409401828310331,9
0,1,1,0,139,0.5,0.5,3,-0.411322732508341,0.411322732508341,10
0,1,0,1,139,0.5,0.5,3,-0.378256181348595,0.378256181348595,11
1,0,1,0,139,0.5,0.5,3,-0.350173304535416,0.350173304535416,12
0,1,0,1,139,0.5,0.5,3,0.437381417657529,0.437381417657529,13
1,0,1,0,139,0.5,0.5,3,0.43211516076895,0.43211516076895,14
0,1,0,1,139,0.5,0.5,3,-0.42911007138921,0.42911007138921,15
1,0,1,0,139,0.5,0.5,3,0.410099357300774,0.410099357300774,16
0,1,1,0,139,0.56,0.56,3,-0.385241806069209,0.385241806069209,17
0,1,1,0,139,0.6,0.6,3,-0.383267598283241,0.383267598283241,18
1,0,1,0,139,0.5,0.5,3,0.417697318008194,0.417697318008194,19
1,0,1,0,139,0.59,0.59,3,0.449874806041465,0.449874806041465,20
1,0,1,0,139,0.42,0.58,3,0.35967196571316,0.35967196571316,21
0,1,1,0,139,0.57,0.57,3,-0.413102796994657,0.413102796994657,22
0,1,1,0,139,0.59,0.59,3,-0.440016849375251,0.440016849375251,23
0,1,1,0,139,0.61,0.61,3,-0.3940304781917,0.3940304781917,24
1,0,1,0,139,0.4,0.6,3,0.388020055262532,0.388020055262532,25
1,0,1,0,139,0.5,0.5,4,0.0875271270369445,0.0875271270369445,1
0,1,0,1,139,0.5,0.5,4,-0.0673937125861985,0.0673937125861985,2
0,1,1,0,139,0.54,0.54,4,-0.0465351672974155,0.0465351672974155,3
1,0,1,0,139,0.52,0.52,4,0.0739558387063325,0.0739558387063325,4
1,0,1,0,139,0.57,0.57,4,0.0665710042613065,0.0665710042613065,5
0,1,0,1,139,0.5,0.5,4,-0.0570048419029495,0.0570048419029495,6
0,1,1,0,139,0.5,0.5,4,0.00374705558306099,0.00374705558306099,7
1,0,1,0,139,0.5,0.5,4,0.00924982354829348,0.00924982354829348,8
